feature,shap_value
CP4_gamma,0.003738791208910592
AF3_beta,0.0031492900212184744
Fp2_beta,0.0030426377759805393
F4_beta,0.002774323423285017
TP7_theta,0.00276338550245612
TP7_alpha,0.00276338550245612
FT8_alpha,0.0025406013710264873
FT8_theta,0.0025406013710264873
T8_beta,0.002480824868606316
FC4_theta,0.002456764602608839
FC4_alpha,0.002456764602608839
Oz_theta,0.0023760533730057694
Oz_alpha,0.0023760533730057694
C1_alpha,0.002318159633625209
C1_theta,0.002318159633625209
F2_beta,0.001977075769003013
PO8_alpha,0.001926270569122219
PO8_theta,0.001926270569122219
O1_alpha,0.001797732304893235
O1_theta,0.001797732304893235
Fz_beta,0.0017391596530774824
P1_gamma,0.0016935322834978526
CPz_theta,0.0016072781787959114
CPz_alpha,0.0016072781787959114
TP8_alpha,0.001498029591107601
TP8_theta,0.001498029591107601
POz_theta,0.0014777631209741287
POz_alpha,0.0014777631209741287
P5_theta,0.0012429862527483474
P5_alpha,0.0012429862527483474
PO3_gamma,0.0012320107668699171
Fpz_beta,0.0012216988916092947
P3_alpha,0.0011292495728587603
P3_theta,0.0011292495728587603
T8_theta,0.0010798977928382326
T8_alpha,0.0010798977928382326
O2_alpha,0.0009982894850724916
O2_theta,0.0009982894850724916
P7_theta,0.0009633484808420344
P7_alpha,0.0009633484808420344
P8_theta,0.0007941923569510467
P8_alpha,0.0007941923569510467
P2_theta,0.0007878758331695771
P2_alpha,0.0007878758331695771
C5_alpha,0.0007710668572992113
C5_theta,0.0007710668572992113
PO3_alpha,0.0007580499271322923
PO3_theta,0.0007580499271322923
P1_alpha,0.0007570704577604917
P1_theta,0.0007570704577604917
CP4_theta,0.0007405437270063587
CP4_alpha,0.0007405437270063587
CP3_theta,0.0007340982618767907
CP3_alpha,0.0007340982618767907
Pz_alpha,0.000659819854108007
Pz_theta,0.000659819854108007
CP1_alpha,0.0005403511251202635
CP1_theta,0.0005403511251202635
TP7_gamma,0.00042563894355528246
PO7_alpha,0.0004010134139901271
PO7_theta,0.0004010134139901271
P6_theta,0.00031250874093341545
P6_alpha,0.00031250874093341545
P4_alpha,0.00018373878983671
P4_theta,0.00018373878983671
CP5_theta,0.00017811367082140245
CP5_alpha,0.00017811367082140245
CP2_alpha,0.00016350899610919367
CP2_theta,0.00016350899610919367
PO4_theta,2.5002674550703264e-05
PO4_alpha,2.5002674550703264e-05
F1_delta,0.0
CP6_delta,0.0
Fz_delta,0.0
Cz_delta,0.0
CPz_delta,0.0
F2_delta,0.0
F7_delta,0.0
F8_delta,0.0
FC1_delta,0.0
FT8_delta,0.0
Fp1_delta,0.0
Fp2_delta,0.0
Fpz_delta,0.0
F5_delta,0.0
F4_delta,0.0
FT7_delta,0.0
FCz_delta,0.0
FC6_delta,0.0
FC5_delta,0.0
FC4_delta,0.0
FC3_delta,0.0
Pz_delta,0.0
POz_delta,0.0
PO8_delta,0.0
T7_delta,0.0
T8_delta,0.0
TP7_delta,0.0
AF7_delta,0.0
FC2_delta,0.0
AFz_delta,0.0
C2_delta,0.0
AF8_delta,0.0
C1_delta,0.0
C3_delta,0.0
C4_delta,0.0
O1_delta,0.0
CP5_delta,0.0
F6_delta,0.0
P1_delta,0.0
F3_delta,0.0
O2_delta,0.0
Oz_delta,0.0
C5_delta,0.0
P2_delta,0.0
P3_delta,0.0
CP3_delta,0.0
CP2_delta,0.0
CP1_delta,0.0
C6_delta,0.0
P4_delta,0.0
CP4_delta,0.0
P6_delta,0.0
P5_delta,0.0
P8_delta,0.0
P7_delta,0.0
PO4_delta,0.0
PO3_delta,0.0
TP8_delta,0.0
PO7_delta,0.0
AF4_delta,0.0
AF3_delta,0.0
